Area,Perimetro,LongitudEjeMayor,LongitudEjeMenor,RelacionAspecto,Excentricidad,AreaConvexa,DiametroEquivalente,Medida,Solidez,Redondez,Compacidad,FactorForma1,FactorForma2,FactorForma3,FactorForma4,Secado_Honey,Secado_Lavado,Secado_Natural
59965.0,994266.0,389.0885291,197.9672752,1.0,0.860886225,60910.0,276.3146925,0.661580556,0.984485306,0.762258937,0.710158928,0.006488594,0.001018011,0.504325702,0.991211025,False,False,True
39324.0,737773.0,262.5202419,191.1768577,1.0,0.685325764,39758.0,223.7607469,0.775391896,0.989083958,0.907866595,0.852356166,0.006675828,0.002173548,0.726511034,0.997630439,False,True,False
50654.0,879938.0,357.2338985,181.4077434,1.0,0.861467781,51251.0,253.95802,0.634857372,0.988351447,0.822090186,0.710901236,0.007052432,0.001111107,0.642988899,0.995211488,False,False,True
39948.0,731068.0,244.969135,207.9641485,0.0,0.528488905,40386.0,225.5290964,0.77203154,0.989154658,0.939267631,0.920642906,0.0061322,0.002717446,0.847583361,0.998401716,False,True,False
39392.0,746.64,265.9159705,189.1446635,1.0,0.702893747,39836.0,223.9541296,0.725290912,0.988854303,0.887964063,0.842198869,0.006750507,0.002094955,0.709298935,0.997193952,False,False,True
44870.0,846.28,354.6021806,161.6441615,1.0,0.890058409,45511.0,239.0193682,0.7169335,0.985915493,0.787295518,0.674049347,0.006643746,0.00100631,0.454342522,0.996700701,False,False,True
155524.0,1523825.0,559.7562847,360.2629506,1.0,0.765356315,159126.0,444.9936033,0.817506124,0.97736385,0.841660785,0.794977413,0.003599163,0.00170134,0.631989088,0.981949054,False,True,False
46757.0,829953.0,307.901337,194.6059883,1.0,0.774935692,47292.0,243.9935683,0.720169426,0.988687304,0.853000929,0.792440756,0.006585139,0.001601813,0.627962352,0.993548295,False,False,True
47899.0,825844.0,317.3425191,194.2818935,1.0,0.790691234,48932.0,246.955261,0.79056909,0.978889071,0.882551942,0.778197834,0.006625243,0.001498793,0.605591869,0.989181471,False,True,False
36876.0,707667.0,261.0194762,180.5624243,1.0,0.722128983,37270.0,216.6840591,0.716136174,0.989428495,0.925328167,0.830145176,0.007078302,0.0020736,0.689141014,0.996216279,False,False,True
116272.0,1326583.0,534.4844042,279.7834139,1.0,0.852047712,118144.0,384.7624051,0.766551074,0.98415493,0.830263893,0.719875832,0.004596845,0.0007615,0.518221213,0.98998419,False,False,False
84226.0,1113968.0,440.5559563,245.6595216,1.0,0.830101359,85372.0,327.4749974,0.788477921,0.988258286,0.852924539,0.801781563,0.005230641,0.000985015,0.552527808,0.990881262,False,True,False
51408.0,866227.0,300.8424616,218.0567255,1.0,0.688937967,52127.0,255.8411588,0.743610143,0.986206764,0.860948432,0.850415721,0.005852055,0.001888049,0.723206898,0.997774056,False,False,True
51453.0,891.79,360.178529,182.8437729,1.0,0.861564794,52164.0,255.9531096,0.708875234,0.98636991,0.81300903,0.710628449,0.007000146,0.001101177,0.504992793,0.994770336,False,False,True
46774.0,833722.0,305.7038868,196.1460607,1.0,0.767021759,47446.0,244.0379201,0.793909974,0.98583653,0.845613391,0.798282033,0.006535765,0.0016372,0.637254204,0.993193981,False,True,False
38277.0,729704.0,281.091512,173.6415521,1.0,0.786382181,38676.0,220.7618401,0.776724838,0.989683525,0.903346367,0.785373555,0.007343614,0.00170134,0.616811621,0.998496668,False,True,False
30648.0,635615.0,224.3361866,174.2943243,0.0,0.629582528,30964.0,197.540491,0.749816509,0.9897946,0.953287125,0.880555625,0.007319766,0.002714589,0.775378208,0.997998019,False,False,True
45954.0,795062.0,294.8206719,199.020609,1.0,0.737766041,46398.0,241.8893343,0.78029647,0.990430622,0.913547619,0.820462597,0.006415561,0.001793286,0.673158874,0.997188947,False,True,False
76161.0,1088451.0,430.8531802,228.5727479,1.0,0.847677476,77773.0,311.4019861,0.802370417,0.988258286,0.807838852,0.722756615,0.005657137,0.000952236,0.522377125,0.98466614,False,True,False
36568.0,691529.0,241.3921932,193.1193049,0.0,0.599969341,36883.0,215.7772548,0.789669172,0.99145948,0.960926737,0.893886633,0.006601187,0.00259975,0.799033313,0.998762935,False,True,False
53505.0,921825.0,375.3165391,183.0186713,1.0,0.873045825,54350.0,261.0070532,0.753061224,0.984452622,0.79123824,0.695431792,0.007014607,0.001012048,0.483625377,0.991770957,False,True,False
38445.0,705779.0,235.1825325,208.4739731,0.0,0.462853547,38763.0,221.245778,0.76966967,0.988258286,0.969867184,0.940740691,0.006643746,0.002955457,0.884993047,0.998373576,False,True,False
29081.0,636593.0,237.3015274,156.4313802,1.0,0.751959482,29481.0,192.4242168,0.703680403,0.986431939,0.901769376,0.810884864,0.00816002,0.002176245,0.657534263,0.99745898,False,False,True
35117.0,702913.0,269.773098,166.8326288,1.0,0.785849075,35493.0,211.4529572,0.675586764,0.989406362,0.89314942,0.783817804,0.007682123,0.001788634,0.614370349,0.9934543,False,False,True
37810.0,729095.0,272.7963901,177.0330488,1.0,0.760825331,38256.0,219.4110006,0.69788475,0.988258286,0.893816364,0.804303167,0.007214927,0.001862477,0.646903585,0.996836263,False,False,True
32609.0,668679.0,240.565921,173.0431786,1.0,0.694681885,32994.0,203.7622838,0.756238404,0.988331212,0.916456754,0.847012258,0.007377286,0.00170134,0.717429765,0.997376224,False,True,False
32062.0,665567.0,235.1189657,174.9852954,1.0,0.667910598,32539.0,202.0460499,0.809299038,0.985340668,0.909529757,0.859335398,0.007333259,0.002466764,0.738457326,0.992228074,False,True,False
28058.0,621031.0,235.830118,151.9948737,1.0,0.764595865,28351.0,189.0094049,0.820409357,0.989665268,0.914197472,0.801464234,0.006643746,0.002139237,0.642344919,0.996640704,False,True,False
80881.0,1130612.0,433.4216946,239.0085096,1.0,0.83421082,82038.0,320.9063533,0.773610713,0.988258286,0.795113624,0.740402147,0.005358758,0.000993378,0.54819534,0.994105831,False,True,False
70925.0,1050316.0,382.7790775,236.6469135,1.0,0.785994358,72151.0,300.5070959,0.772275395,0.983007859,0.807921649,0.78506667,0.005396956,0.001264605,0.616329677,0.996920272,False,True,False
65617.0,977.81,351.8985886,238.9379581,1.0,0.734141381,66608.0,289.0435248,0.715491391,0.988258286,0.862416954,0.821383018,0.005362918,0.001505788,0.674670063,0.993627989,False,False,True
64979.0,1032629.0,413.2250931,201.0289509,1.0,0.873687391,65841.0,287.6348942,0.716614282,0.988258286,0.765762778,0.696073155,0.006359364,0.000920901,0.484517837,0.9964274545,False,False,False
