Perimetro,DiametroEquivalente,Medida,Solidez,Redondez,FactorForma3,FactorForma4,RelacionAspecto,Secado_Honey,Secado_Lavado,Secado_Natural
994266.0,276.3146925,0.661580556,0.984485306,0.762258937,0.504325702,0.991211025,1.0,False,False,True
737773.0,223.7607469,0.775391896,0.989083958,0.907866595,0.726511034,0.997630439,1.0,False,True,False
879938.0,253.95802,0.634857372,0.988351447,0.822090186,0.642988899,0.995211488,1.0,False,False,True
731068.0,225.5290964,0.77203154,0.989154658,0.939267631,0.847583361,0.998401716,0.0,False,True,False
746.64,223.9541296,0.725290912,0.988854303,0.887964063,0.709298935,0.997193952,1.0,False,False,True
846.28,239.0193682,0.7169335,0.985915493,0.787295518,0.454342522,0.996700701,1.0,False,False,True
1523825.0,444.9936033,0.817506124,0.97736385,0.841660785,0.631989088,0.981949054,1.0,False,True,False
829953.0,243.9935683,0.720169426,0.988687304,0.853000929,0.627962352,0.993548295,1.0,False,False,True
825844.0,246.955261,0.79056909,0.978889071,0.882551942,0.605591869,0.989181471,1.0,False,True,False
707667.0,216.6840591,0.716136174,0.989428495,0.925328167,0.689141014,0.996216279,1.0,False,False,True
1326583.0,384.7624051,0.766551074,0.98415493,0.830263893,0.518221213,0.98998419,1.0,False,False,False
1113968.0,327.4749974,0.788477921,0.988258286,0.852924539,0.552527808,0.990881262,1.0,False,True,False
866227.0,255.8411588,0.743610143,0.986206764,0.860948432,0.723206898,0.997774056,1.0,False,False,True
891.79,255.9531096,0.708875234,0.98636991,0.81300903,0.504992793,0.994770336,1.0,False,False,True
833722.0,244.0379201,0.793909974,0.98583653,0.845613391,0.637254204,0.993193981,1.0,False,True,False
729704.0,220.7618401,0.776724838,0.989683525,0.903346367,0.616811621,0.998496668,1.0,False,True,False
635615.0,197.540491,0.749816509,0.9897946,0.953287125,0.775378208,0.997998019,0.0,False,False,True
795062.0,241.8893343,0.78029647,0.990430622,0.913547619,0.673158874,0.997188947,1.0,False,True,False
1088451.0,311.4019861,0.802370417,0.988258286,0.807838852,0.522377125,0.98466614,1.0,False,True,False
691529.0,215.7772548,0.789669172,0.99145948,0.960926737,0.799033313,0.998762935,0.0,False,True,False
921825.0,261.0070532,0.753061224,0.984452622,0.79123824,0.483625377,0.991770957,1.0,False,True,False
705779.0,221.245778,0.76966967,0.988258286,0.969867184,0.884993047,0.998373576,0.0,False,True,False
636593.0,192.4242168,0.703680403,0.986431939,0.901769376,0.657534263,0.99745898,1.0,False,False,True
702913.0,211.4529572,0.675586764,0.989406362,0.89314942,0.614370349,0.9934543,1.0,False,False,True
729095.0,219.4110006,0.69788475,0.988258286,0.893816364,0.646903585,0.996836263,1.0,False,False,True
668679.0,203.7622838,0.756238404,0.988331212,0.916456754,0.717429765,0.997376224,1.0,False,True,False
665567.0,202.0460499,0.809299038,0.985340668,0.909529757,0.738457326,0.992228074,1.0,False,True,False
621031.0,189.0094049,0.820409357,0.989665268,0.914197472,0.642344919,0.996640704,1.0,False,True,False
1130612.0,320.9063533,0.773610713,0.988258286,0.795113624,0.54819534,0.994105831,1.0,False,True,False
1050316.0,300.5070959,0.772275395,0.983007859,0.807921649,0.616329677,0.996920272,1.0,False,True,False
977.81,289.0435248,0.715491391,0.988258286,0.862416954,0.674670063,0.993627989,1.0,False,False,True
1032629.0,287.6348942,0.716614282,0.988258286,0.765762778,0.484517837,0.9964274545,1.0,False,False,False
677257.0,200.2610775,0.690004162,0.984866487,0.862950406,0.604853348,0.996856884,1.0,False,False,True
1716411.0,498.859735,0.759024962,0.985141354,0.833708195,0.619461947,0.9892591,1.0,False,True,False
